Entry	yourlist:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	Entry name	Gene ontology IDs	Status	Protein names	Gene names	Organism	Length	isomap:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	yourlist:M201803118A530B6CA0138AFAA6D2B97CE8C2A9240BFF3DO	Annotation
A0A286MMJ5	KX832911	A0A286MMJ5_SOLSE	GO:0004177	unreviewed	Aminopeptidase N (Fragment)		Solea senegalensis (Senegalese sole)	134		KX832911	1 out of 5
Q9PSZ0	AF043383	Q9PSZ0_PSEAM	GO:0004177; GO:0008237; GO:0008270; GO:0016021	unreviewed	Aminopeptidase N (EC 3.4.11.2) (Fragment)	ampN	Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus)	680		AF043383	1 out of 5
A0A1I9W307	KX258623	A0A1I9W307_HALDH	GO:0004177; GO:0008237; GO:0008270	unreviewed	Aminopeptidase (EC 3.4.11.-)		Haliotis discus hannai (Japanese abalone)	847		KX258623	1 out of 5
E7DP94	HQ287746	E7DP94_CORCL	GO:0005524	unreviewed	Heat shock cognate 70 kDa protein (Fragment)	HSP70	Coregonus clupeaformis (Lake whitefish)	422		HQ287746	1 out of 5
A0A088BVQ7	KF870464	A0A088BVQ7_ONCMY		unreviewed	Follistatin b1	Fstb1	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	378		KF870464	1 out of 5
Q5F2D0	AK147421	Q5F2D0_MOUSE	GO:0003824; GO:0008152; GO:0016021	unreviewed	Uncharacterized protein	Acsl6	Mus musculus (Mouse)	722		AK147421	1 out of 5
Q5ICG4	AY786363,AK147283	Q5ICG4_MOUSE	GO:0003824; GO:0008152; GO:0016021	unreviewed	Long chain acyl-CoA synthetase 6 isoform 1	Acsl6	Mus musculus (Mouse)	697	,	AY786363,AK147283	1 out of 5
P33124	AY625254	ACSL6_RAT	GO:0001666; GO:0001676; GO:0004467; GO:0005524; GO:0005634; GO:0005739; GO:0005741; GO:0005778; GO:0005789; GO:0006641; GO:0007405; GO:0007584; GO:0008654; GO:0009629; GO:0010747; GO:0010867; GO:0010976; GO:0015908; GO:0016020; GO:0016021; GO:0019899; GO:0032869; GO:0042803; GO:0048545; GO:0048666; GO:0102391	reviewed	Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 6) (LACS 6) (Long-chain-fatty-acid--CoA ligase, brain isozyme)	Acsl6 Acs2 Facl6	Rattus norvegicus (Rat)	697		AY625254	5 out of 5
A8IP90	AB073974	A8IP90_MOUSE	GO:0003824; GO:0008152; GO:0016021	unreviewed	Long-chain acyl-CoA synthetase	Acsl6 lacs	Mus musculus (Mouse)	697		AB073974	1 out of 5
Q5ICG6	AY786361	Q5ICG6_MOUSE	GO:0003824; GO:0008152; GO:0016021	unreviewed	Long chain acyl-CoA synthetase 6 isoform 2	Acsl6	Mus musculus (Mouse)	722		AY786361	1 out of 5
Q91WC3	BC016114,AY167035	ACSL6_MOUSE	GO:0001676; GO:0004467; GO:0005524; GO:0005739; GO:0005741; GO:0005778; GO:0005789; GO:0007405; GO:0016020; GO:0016021; GO:0019899; GO:0042803; GO:0102391	reviewed	Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 6) (LACS 6)	Acsl6 Facl6	Mus musculus (Mouse)	697	,	BC016114,AY167035	4 out of 5
A0A0N9DSM9	KR135621	A0A0N9DSM9_NEOPH	GO:0003824; GO:0008152	unreviewed	Acyl-CoA synthetase long-chain family member 6 (Fragment)	ACSL6	Neophocaena phocaenoides (Finless porpoise) (Delphinus phocaenoides)	660		KR135621	1 out of 5
A0A0N9DRC4	KR135620	A0A0N9DRC4_DELLE	GO:0003824; GO:0008152	unreviewed	Acyl-CoA synthetase long-chain family member 6 (Fragment)	ACSL6	Delphinapterus leucas (Beluga whale)	660		KR135620	1 out of 5
A0A0N7EHN3	KR135619	A0A0N7EHN3_DELCA	GO:0003824; GO:0008152	unreviewed	Acyl-CoA synthetase long-chain family member 6 (Fragment)	ACSL6	Delphinus capensis (Long-beaked common dolphin)	459		KR135619	1 out of 5
A0A0N9DSF2	KR135619	A0A0N9DSF2_DELCA	GO:0003824; GO:0008152	unreviewed	Acyl-CoA synthetase long-chain family member 6 (Fragment)	ACSL6	Delphinus capensis (Long-beaked common dolphin)	94		KR135619	1 out of 5
A0A0N9DSG0	KR135623	A0A0N9DSG0_BALOM	GO:0003824; GO:0008152	unreviewed	Acyl-CoA synthetase long-chain family member 6 (Fragment)	ACSL6	Balaenoptera omurai (Omura's baleen whale)	660		KR135623	1 out of 5
A0A0N6WYT1	KR135622	A0A0N6WYT1_BALAC	GO:0003824; GO:0008152	unreviewed	Acyl-CoA synthetase long-chain family member 6 (Fragment)	ACSL6	Balaenoptera acutorostrata (Common minke whale) (Balaena rostrata)	660		KR135622	1 out of 5
E6ZGH5	FQ310507	E6ZGH5_DICLA	GO:0006355	unreviewed	SAP30-binding protein	SAP30BP DLA_Ib00010	Dicentrarchus labrax (European seabass) (Morone labrax)	303		FQ310507	1 out of 5
E6ZGH6	FQ310507	E6ZGH6_DICLA	GO:0004872; GO:0007160; GO:0007229; GO:0008305; GO:0031581; GO:0048870	unreviewed	Integrin beta	ITGB4 DLA_Ib00020	Dicentrarchus labrax (European seabass) (Morone labrax)	1904		FQ310507	2 out of 5
E6ZGH7	FQ310507	E6ZGH7_DICLA		unreviewed	Tripartite motif-containing protein 39	TRIM39 DLA_Ib00030	Dicentrarchus labrax (European seabass) (Morone labrax)	411		FQ310507	1 out of 5
E6ZGH8	FQ310507	E6ZGH8_DICLA	GO:0000786; GO:0003677; GO:0005634; GO:0046982	unreviewed	Histone H3	H33 DLA_Ib00040 DLA_Ib01430	Dicentrarchus labrax (European seabass) (Morone labrax)	136		FQ310507	2 out of 5
E6ZGH9	FQ310507	E6ZGH9_DICLA	GO:0046872	unreviewed	RING finger protein unkempt homolog	UNK DLA_Ib00050	Dicentrarchus labrax (European seabass) (Morone labrax)	817		FQ310507	1 out of 5
E6ZGI0	FQ310507	E6ZGI0_DICLA		unreviewed	Protein unc-13 homolog D	UNC13D DLA_Ib00060	Dicentrarchus labrax (European seabass) (Morone labrax)	1034		FQ310507	1 out of 5
E6ZGI1	FQ310507	E6ZGI1_DICLA	GO:0000790; GO:0001105; GO:0045815; GO:0071391	unreviewed	WW domain-binding protein 2	WBP2 DLA_Ib00070	Dicentrarchus labrax (European seabass) (Morone labrax)	263		FQ310507	1 out of 5
E6ZGI2	FQ310507	E6ZGI2_DICLA	GO:0005622; GO:0008270	unreviewed	Tripartite motif-containing protein 65	TRIM65 DLA_Ib00080	Dicentrarchus labrax (European seabass) (Morone labrax)	513		FQ310507	1 out of 5
E6ZGI3	FQ310507	E6ZGI3_DICLA	GO:0005840	unreviewed	'39S ribosomal protein L38, mitochondrial'	MRPL38 DLA_Ib00090	Dicentrarchus labrax (European seabass) (Morone labrax)	296		FQ310507	1 out of 5
E6ZGI4	FQ310507	E6ZGI4_DICLA	GO:0005759; GO:0015039	unreviewed	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)	FDXR DLA_Ib00100	Dicentrarchus labrax (European seabass) (Morone labrax)	468		FQ310507	2 out of 5
E6ZGI5	FQ310507	E6ZGI5_DICLA		unreviewed	Nuclear prelamin A recognition factor	NARF DLA_Ib00110	Dicentrarchus labrax (European seabass) (Morone labrax)	461		FQ310507	1 out of 5
E6ZGI6	FQ310507	E6ZGI6_DICLA	GO:0016021	unreviewed	Uncharacterized protein	DLA_Ib00120	Dicentrarchus labrax (European seabass) (Morone labrax)	203		FQ310507	1 out of 5
E6ZGI7	FQ310507	E6ZGI7_DICLA	GO:0004553; GO:0005975	unreviewed	Hexosaminidase D	HEXDC DLA_Ib00130	Dicentrarchus labrax (European seabass) (Morone labrax)	480		FQ310507	1 out of 5
E6ZGI8	FQ310507	E6ZGI8_DICLA	GO:0005506; GO:0016021; GO:0016705; GO:0031418	unreviewed	PKHD domain-containing transmembrane protein	DLA_Ib00140	Dicentrarchus labrax (European seabass) (Morone labrax)	321		FQ310507	1 out of 5
E6ZGI9	FQ310507	E6ZGI9_DICLA	GO:0001604; GO:0008217; GO:0016021; GO:0097746	unreviewed	Urotensin II receptor	UTS2R DLA_Ib00150	Dicentrarchus labrax (European seabass) (Morone labrax)	363		FQ310507	1 out of 5
E6ZGJ0	FQ310507	E6ZGJ0_DICLA	GO:0005891; GO:0008332; GO:0034765; GO:0070509	unreviewed	Voltage-dependent T-type calcium channel subunit alpha	CACNA1G DLA_Ib00160	Dicentrarchus labrax (European seabass) (Morone labrax)	2189		FQ310507	2 out of 5
E6ZGJ1	FQ310507	E6ZGJ1_DICLA	GO:0003676; GO:0005634; GO:0015074	unreviewed	Pol polyprotein	POL DLA_Ib00170	Dicentrarchus labrax (European seabass) (Morone labrax)	1738		FQ310507	1 out of 5
E6ZGJ2	FQ310507	E6ZGJ2_DICLA	GO:0003824	unreviewed	Spermatogenesis-associated protein 20	SPATA20 DLA_Ib00180	Dicentrarchus labrax (European seabass) (Morone labrax)	748		FQ310507	1 out of 5
E6ZGJ3	FQ310507	E6ZGJ3_DICLA	GO:0006629; GO:0008081	unreviewed	PI-PLC X domain-containing protein 2	PLCXD2 DLA_Ib00190	Dicentrarchus labrax (European seabass) (Morone labrax)	189		FQ310507	1 out of 5
E6ZGJ4	FQ310507	E6ZGJ4_DICLA	GO:0003676; GO:0004190; GO:0008270; GO:0015074	unreviewed	Pol polyprotein	POL DLA_Ib00200	Dicentrarchus labrax (European seabass) (Morone labrax)	1618		FQ310507	1 out of 5
E6ZGJ5	FQ310507	E6ZGJ5_DICLA	GO:0004190	unreviewed	Pepsinogen 1	PGA DLA_Ib00210	Dicentrarchus labrax (European seabass) (Morone labrax)	378		FQ310507	1 out of 5
E6ZGJ6	FQ310507	E6ZGJ6_DICLA	GO:0001822; GO:0016021	unreviewed	Polycystin-1	PKD1 DLA_Ib00220	Dicentrarchus labrax (European seabass) (Morone labrax)	4051		FQ310507	1 out of 5
E6ZGJ7	FQ310507	E6ZGJ7_DICLA	GO:0005622; GO:0016567; GO:0035556	unreviewed	Ankyrin repeat and SOCS box protein 12	ASB12 DLA_Ib00230	Dicentrarchus labrax (European seabass) (Morone labrax)	304		FQ310507	1 out of 5
E6ZGJ8	FQ310507	E6ZGJ8_DICLA	GO:0003924; GO:0005525	unreviewed	Ras-related protein Rab-26	RAB26 DLA_Ib00240	Dicentrarchus labrax (European seabass) (Morone labrax)	222		FQ310507	1 out of 5
E6ZGJ9	FQ310507	E6ZGJ9_DICLA	GO:0005789; GO:0016021	unreviewed	Lipase maturation factor	LMF1 DLA_Ib00250	Dicentrarchus labrax (European seabass) (Morone labrax)	577		FQ310507	2 out of 5
E6ZGK0	FQ310507	E6ZGK0_DICLA	GO:0000981; GO:0003677; GO:0005634	unreviewed	Transcription factor Sox-8	SOX8 DLA_Ib00260	Dicentrarchus labrax (European seabass) (Morone labrax)	482		FQ310507	1 out of 5
E6ZGK1	FQ310507	E6ZGK1_DICLA	GO:0005096; GO:0046872	unreviewed	Arf-GAP with dual PH domain-containing protein 1	ADAP1 DLA_Ib00270	Dicentrarchus labrax (European seabass) (Morone labrax)	376		FQ310507	1 out of 5
E6ZGK2	FQ310507	E6ZGK2_DICLA		unreviewed	Cytochrome c oxidase assembly protein COX19	COX19 DLA_Ib00280	Dicentrarchus labrax (European seabass) (Morone labrax)	95		FQ310507	1 out of 5
E6ZGK3	FQ310507	E6ZGK3_DICLA	GO:0016021	unreviewed	Uncharacterized protein	DLA_Ib00290	Dicentrarchus labrax (European seabass) (Morone labrax)	132		FQ310507	1 out of 5
E6ZGK4	FQ310507	E6ZGK4_DICLA	GO:0003723	unreviewed	RNA-binding protein with serine-rich domain 1 (Fragment)	RNPS1 DLA_Ib00300	Dicentrarchus labrax (European seabass) (Morone labrax)	289		FQ310507	1 out of 5
E6ZGK5	FQ310507	E6ZGK5_DICLA	GO:0008643; GO:0016021; GO:0022857	unreviewed	'Solute carrier family 2, facilitated glucose transporter member 11'	SLC2A11 DLA_Ib00310	Dicentrarchus labrax (European seabass) (Morone labrax)	537		FQ310507	1 out of 5
E6ZGK6	FQ310507	E6ZGK6_DICLA	GO:0000981; GO:0003677; GO:0005634	unreviewed	SOX9	SOX9 DLA_Ib00320	Dicentrarchus labrax (European seabass) (Morone labrax)	498		FQ310507	1 out of 5
E6ZGK7	FQ310507	E6ZGK7_DICLA	GO:0003676; GO:0008270; GO:0015074	unreviewed	Pol polyprotein	POL DLA_Ib00330	Dicentrarchus labrax (European seabass) (Morone labrax)	1650		FQ310507	1 out of 5
E6ZGK8	FQ310507	E6ZGK8_DICLA		unreviewed	Rho GTPase-activating protein 22	ARHGAP22 DLA_Ib00340	Dicentrarchus labrax (European seabass) (Morone labrax)	95		FQ310507	1 out of 5
E6ZGK9	FQ310507	E6ZGK9_DICLA		unreviewed	MMS19 nucleotide excision repair protein homolog (Fragment)	MMS19 DLA_Ib00350	Dicentrarchus labrax (European seabass) (Morone labrax)	528		FQ310507	1 out of 5
E6ZGL0	FQ310507	E6ZGL0_DICLA	GO:0016021; GO:0019706	unreviewed	Palmitoyltransferase (EC 2.3.1.225)	ZDHHC16 DLA_Ib00360	Dicentrarchus labrax (European seabass) (Morone labrax)	352		FQ310507	2 out of 5
E6ZGL1	FQ310507	E6ZGL1_DICLA		unreviewed	Uncharacterized protein	DLA_Ib00370	Dicentrarchus labrax (European seabass) (Morone labrax)	929		FQ310507	1 out of 5
E6ZGL2	FQ310507	E6ZGL2_DICLA		unreviewed	Conserved edge expressed protein	CEE DLA_Ib00380	Dicentrarchus labrax (European seabass) (Morone labrax)	323		FQ310507	1 out of 5
E6ZGL3	FQ310507	E6ZGL3_DICLA	GO:0003713; GO:0003785; GO:0005634; GO:0005737; GO:0010735	unreviewed	MKL/myocardin-like protein 1	MKL1 DLA_Ib00390	Dicentrarchus labrax (European seabass) (Morone labrax)	1177		FQ310507	1 out of 5
E6ZGL4	FQ310507	E6ZGL4_DICLA	GO:0016021	unreviewed	Uncharacterized protein	DLA_Ib00400	Dicentrarchus labrax (European seabass) (Morone labrax)	218		FQ310507	1 out of 5
E6ZGL5	FQ310507	E6ZGL5_DICLA		unreviewed	PPPDE peptidase domain-containing protein 2	PPPDE2 DLA_Ib00410	Dicentrarchus labrax (European seabass) (Morone labrax)	145		FQ310507	1 out of 5
E6ZGL6	FQ310507	E6ZGL6_DICLA	GO:0000723; GO:0003684; GO:0004003; GO:0006303; GO:0042162; GO:0043564	unreviewed	ATP-dependent DNA helicase 2 subunit 1	XRCC6 DLA_Ib00420	Dicentrarchus labrax (European seabass) (Morone labrax)	624		FQ310507	2 out of 5
E6ZGL7	FQ310507	E6ZGL7_DICLA	GO:0004843; GO:0016579	unreviewed	Josephin-1	JOSD1 DLA_Ib00430	Dicentrarchus labrax (European seabass) (Morone labrax)	269		FQ310507	1 out of 5
E6ZGL8	FQ310507	E6ZGL8_DICLA	GO:0005634	unreviewed	Chromobox protein homolog 7	CBX7 DLA_Ib00440	Dicentrarchus labrax (European seabass) (Morone labrax)	248		FQ310507	1 out of 5
E6ZGL9	FQ310507	E6ZGL9_DICLA	GO:0000123; GO:0003713; GO:0004402; GO:0006355; GO:0008270	unreviewed	Histone acetyltransferase p300	EP300 DLA_Ib00450	Dicentrarchus labrax (European seabass) (Morone labrax)	2912		FQ310507	2 out of 5
E6ZGM0	FQ310507	E6ZGM0_DICLA	GO:0003677; GO:0005634; GO:0006355; GO:0008270	unreviewed	Lethal(3)malignant brain tumor-like 2 protein	L3MBTL2 DLA_Ib00460	Dicentrarchus labrax (European seabass) (Morone labrax)	682		FQ310507	1 out of 5
E6ZGM1	FQ310507	E6ZGM1_DICLA		unreviewed	Chondroadherin-like protein	CHADL DLA_Ib00470	Dicentrarchus labrax (European seabass) (Morone labrax)	772		FQ310507	1 out of 5
E6ZGM2	FQ310507	E6ZGM2_DICLA	GO:0005096; GO:0007165	unreviewed	Ran GTPase-activating protein 1	RANGAP1 DLA_Ib00480	Dicentrarchus labrax (European seabass) (Morone labrax)	569		FQ310507	1 out of 5
E6ZGM3	FQ310507	E6ZGM3_DICLA	GO:0046872	unreviewed	Zinc finger CCCH domain-containing protein 7B	ZC3H7B DLA_Ib00490	Dicentrarchus labrax (European seabass) (Morone labrax)	883		FQ310507	1 out of 5
E6ZGM4	FQ310507	E6ZGM4_DICLA	GO:0003700; GO:0005634; GO:0006357; GO:0043565	unreviewed	Thyrotroph embryonic factor beta	TEF DLA_Ib00500	Dicentrarchus labrax (European seabass) (Morone labrax)	291		FQ310507	1 out of 5
E6ZGM5	FQ310507	E6ZGM5_DICLA		unreviewed	PHD finger-like domain-containing protein 5A	PHF5A DLA_Ib00510	Dicentrarchus labrax (European seabass) (Morone labrax)	110		FQ310507	1 out of 5
E6ZGM6	FQ310507	E6ZGM6_DICLA	GO:0003994; GO:0005739; GO:0006099; GO:0046872; GO:0051539	unreviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.-)	ACO2 DLA_Ib00520	Dicentrarchus labrax (European seabass) (Morone labrax)	782		FQ310507	2 out of 5
E6ZGM7	FQ310507	E6ZGM7_DICLA	GO:0003677; GO:0006355	unreviewed	Cold shock domain-containing protein C2	CSDC2 DLA_Ib00530	Dicentrarchus labrax (European seabass) (Morone labrax)	157		FQ310507	1 out of 5
E6ZGM8	FQ310507	E6ZGM8_DICLA	GO:0004383; GO:0004672; GO:0005524; GO:0005622; GO:0016021; GO:0035556	unreviewed	Guanylate cyclase (EC 4.6.1.2)	GUCY2C DLA_Ib00540	Dicentrarchus labrax (European seabass) (Morone labrax)	1071		FQ310507	2 out of 5
E6ZGM9	FQ310507	E6ZGM9_DICLA	GO:0000123; GO:0016301; GO:0016573	unreviewed	Transformation/transcription domain-associated protein	TRRAP DLA_Ib00550	Dicentrarchus labrax (European seabass) (Morone labrax)	1086		FQ310507	1 out of 5
E6ZGN0	FQ310507	E6ZGN0_DICLA	GO:0016021	unreviewed	Dentin matrix protein 4	FAM20C DLA_Ib00560	Dicentrarchus labrax (European seabass) (Morone labrax)	547		FQ310507	1 out of 5
E6ZGN1	FQ310507	E6ZGN1_DICLA	GO:0003700; GO:0005634; GO:0006351; GO:0043565	unreviewed	Forkhead box protein L1	FOXL1 DLA_Ib00570	Dicentrarchus labrax (European seabass) (Morone labrax)	255		FQ310507	1 out of 5
E6ZGN2	FQ310507	E6ZGN2_DICLA	GO:0005622; GO:0006886	unreviewed	TOM1-like protein 2	TOM1L2 DLA_Ib00580	Dicentrarchus labrax (European seabass) (Morone labrax)	524		FQ310507	1 out of 5
E6ZGN3	FQ310507	E6ZGN3_DICLA	GO:0043461	unreviewed	ATP synthase mitochondrial F1 complex assembly factor 2	ATPAF2 DLA_Ib00590	Dicentrarchus labrax (European seabass) (Morone labrax)	284		FQ310507	1 out of 5
E6ZGN4	FQ310507	E6ZGN4_DICLA		unreviewed	Uncharacterized protein	DLA_Ib00600	Dicentrarchus labrax (European seabass) (Morone labrax)	218		FQ310507	1 out of 5
E6ZGN5	FQ310507	E6ZGN5_DICLA	GO:0003700; GO:0005634; GO:0043565	unreviewed	Forkhead box protein J1-A	FOXJ1-A DLA_Ib00610	Dicentrarchus labrax (European seabass) (Morone labrax)	490		FQ310507	1 out of 5
E6ZGN6	FQ310507	E6ZGN6_DICLA		unreviewed	Protein FAM100A	FAM100A DLA_Ib00620	Dicentrarchus labrax (European seabass) (Morone labrax)	163		FQ310507	1 out of 5
E6ZGN7	FQ310507	E6ZGN7_DICLA		unreviewed	MKL/myocardin-like protein 2	MKL2 DLA_Ib00630	Dicentrarchus labrax (European seabass) (Morone labrax)	1009		FQ310507	1 out of 5
E6ZGN8	FQ310507	E6ZGN8_DICLA	GO:0003677; GO:0004519	unreviewed	DNA repair endonuclease XPF	ERCC4 DLA_Ib00640	Dicentrarchus labrax (European seabass) (Morone labrax)	876		FQ310507	1 out of 5
E6ZGN9	FQ310507	E6ZGN9_DICLA	GO:0016787	unreviewed	Calcineurin-like phosphoesterase domain-containing protein 1	CPPED1 DLA_Ib00650	Dicentrarchus labrax (European seabass) (Morone labrax)	319		FQ310507	1 out of 5
E6ZGP0	FQ310507	E6ZGP0_DICLA	GO:0016021	unreviewed	Uncharacterized protein	DLA_Ib00660	Dicentrarchus labrax (European seabass) (Morone labrax)	306		FQ310507	1 out of 5
E6ZGP1	FQ310507	E6ZGP1_DICLA		unreviewed	Pre-mRNA-splicing factor 38B (Fragment)	PRPF38B DLA_Ib00670	Dicentrarchus labrax (European seabass) (Morone labrax)	699		FQ310507	1 out of 5
E6ZGP2	FQ310507	E6ZGP2_DICLA	GO:0005086; GO:0032012	unreviewed	Cytohesin-3 (Fragment)	CYTH3 DLA_Ib00680	Dicentrarchus labrax (European seabass) (Morone labrax)	387		FQ310507	1 out of 5
E6ZGP3	FQ310507	E6ZGP3_DICLA	GO:0003924; GO:0005525; GO:0005622; GO:0007264; GO:0016020	unreviewed	Ras-related C3 botulinum toxin substrate 1	RAC1 DLA_Ib00690	Dicentrarchus labrax (European seabass) (Morone labrax)	192		FQ310507	1 out of 5
E6ZGP4	FQ310507	E6ZGP4_DICLA		unreviewed	Mu-crystallin homolog	CRYM DLA_Ib00700	Dicentrarchus labrax (European seabass) (Morone labrax)	315		FQ310507	1 out of 5
E6ZGP5	FQ310507	E6ZGP5_DICLA	GO:0003723; GO:0005730; GO:0030529; GO:0042254	unreviewed	NHP2 non-histone chromosome protein 2-like 1	NHP2L1 DLA_Ib00710	Dicentrarchus labrax (European seabass) (Morone labrax)	128		FQ310507	1 out of 5
E6ZGP6	FQ310507	E6ZGP6_DICLA	GO:0003824; GO:0046872	unreviewed	'Cytochrome b-c1 complex subunit 2, mitochondrial'	QCR2 DLA_Ib00720	Dicentrarchus labrax (European seabass) (Morone labrax)	454		FQ310507	1 out of 5
E6ZGP7	FQ310507	E6ZGP7_DICLA	GO:0004129; GO:0016020; GO:0022904	unreviewed	Uncharacterized protein	DLA_Ib00730	Dicentrarchus labrax (European seabass) (Morone labrax)	167		FQ310507	1 out of 5
E6ZGP8	FQ310507	E6ZGP8_DICLA	GO:0016021	unreviewed	Transmembrane protein 114	TMEM114 DLA_Ib00740	Dicentrarchus labrax (European seabass) (Morone labrax)	208		FQ310507	1 out of 5
E6ZGP9	FQ310507	E6ZGP9_DICLA		unreviewed	Baculoviral IAP repeat-containing protein 5.2-A	BIRC5.2-A DLA_Ib00750	Dicentrarchus labrax (European seabass) (Morone labrax)	118		FQ310507	1 out of 5
E6ZGQ0	FQ310507	E6ZGQ0_DICLA	GO:0006281; GO:0016021; GO:0043240	unreviewed	Fanconi anemia-associated protein of 100 kDa	FAAP100 DLA_Ib00760	Dicentrarchus labrax (European seabass) (Morone labrax)	1014		FQ310507	1 out of 5
E6ZGQ1	FQ310507	E6ZGQ1_DICLA	GO:0005737; GO:0005856; GO:0007015; GO:0030674; GO:0051015	unreviewed	Fascin	FSCN2 DLA_Ib00770	Dicentrarchus labrax (European seabass) (Morone labrax)	486		FQ310507	2 out of 5
E6ZGQ2	FQ310507	E6ZGQ2_DICLA	GO:0003682	unreviewed	BAH and coiled-coil domain-containing protein 1	BAHCC1 DLA_Ib00780	Dicentrarchus labrax (European seabass) (Morone labrax)	2912		FQ310507	1 out of 5
E6ZGQ3	FQ310507	E6ZGQ3_DICLA	GO:0016021	unreviewed	Putative sodium-coupled neutral amino acid transporter 10	SLC38A10 DLA_Ib00790	Dicentrarchus labrax (European seabass) (Morone labrax)	767		FQ310507	1 out of 5
E6ZGQ4	FQ310507	E6ZGQ4_DICLA		unreviewed	Uncharacterized protein	DLA_Ib00800	Dicentrarchus labrax (European seabass) (Morone labrax)	619		FQ310507	1 out of 5
E6ZGQ5	FQ310507	E6ZGQ5_DICLA		unreviewed	Uncharacterized protein	DLA_Ib00810	Dicentrarchus labrax (European seabass) (Morone labrax)	126		FQ310507	1 out of 5
E6ZGQ6	FQ310507	E6ZGQ6_DICLA	GO:0008237; GO:0008270	unreviewed	Archaemetzincin-2	AMZ2 DLA_Ib00820	Dicentrarchus labrax (European seabass) (Morone labrax)	333		FQ310507	1 out of 5
E6ZGQ7	FQ310507	E6ZGQ7_DICLA	GO:0016021; GO:0055085	unreviewed	Monocarboxylate transporter 7	SLC16A6 DLA_Ib00830	Dicentrarchus labrax (European seabass) (Morone labrax)	563		FQ310507	1 out of 5
E6ZGQ8	FQ310507	E6ZGQ8_DICLA	GO:0008152; GO:0008484	unreviewed	Arylsulfatase G	ARSG DLA_Ib00840	Dicentrarchus labrax (European seabass) (Morone labrax)	552		FQ310507	1 out of 5
E6ZGQ9	FQ310507	E6ZGQ9_DICLA	GO:0006914; GO:0032266	unreviewed	WD repeat domain phosphoinositide-interacting protein 1	WIPI1 DLA_Ib00850	Dicentrarchus labrax (European seabass) (Morone labrax)	443		FQ310507	1 out of 5
E6ZGR0	FQ310507	E6ZGR0_DICLA	GO:0005952; GO:0008603; GO:0016301; GO:0030552	unreviewed	cAMP-dependent protein kinase type I-alpha regulatory subunit	PRKAR1A DLA_Ib00860	Dicentrarchus labrax (European seabass) (Morone labrax)	319		FQ310507	1 out of 5
